BHK,Size,StayFloor,Bathrooms,Furnishing Status,Tenant Type,Area Type,Area Locality,Rent,,City,Point of Contact
2,800,1,1,Unfurnished,Bachelors/Family,Super Area,Baguiati,8500,,Kolkata,Contact Owner
2,850,2,2,Unfurnished,Bachelors/Family,Super Area,"Rabindra Sarobar Area, Dhakuria",12500,,Kolkata,Contact Owner
1,350,1,1,Unfurnished,Bachelors/Family,Carpet Area,Baghajatin,7500,,Kolkata,Contact Owner
2,900,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Project Kaikhali, Vip Road",15000,,Kolkata,Contact Owner
2,550,1,1,Semi-Furnished,Bachelors/Family,Super Area,Vip Road,6000,,Kolkata,Contact Owner
2,500,2,2,Unfurnished,Bachelors/Family,Carpet Area,Baruipur,5000,,Kolkata,Contact Owner
3,1100,1,1,Unfurnished,Bachelors/Family,Carpet Area,Dumdum Park,22000,,Kolkata,Contact Owner
2,850,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Sreebhumi,15000,,Kolkata,Contact Owner
2,800,1,1,Unfurnished,Bachelors,Carpet Area,Shyam Bazar,12500,,Kolkata,Contact Agent
2,630,1,1,Unfurnished,Bachelors,Carpet Area,Birati,7000,,Kolkata,Contact Owner
2,900,2,2,Semi-Furnished,Bachelors,Carpet Area,Bansdroni,21000,,Kolkata,Contact Owner
1,270,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Jadavpur University,10000,,Kolkata,Contact Owner
2,630,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Birati,7200,,Kolkata,Contact Owner
3,1500,2,2,Furnished,Bachelors,Carpet Area,Bhadrakali,12000,,Kolkata,Contact Owner
1,600,1,1,Unfurnished,Bachelors/Family,Super Area,Behala,5000,,Kolkata,Contact Owner
2,700,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Baruipur,8500,,Kolkata,Contact Owner
1,300,1,1,Semi-Furnished,Bachelors/Family,Super Area,Ballygunge,6000,,Kolkata,Contact Owner
2,1300,2,2,Semi-Furnished,Family,Super Area,Kalikapur,10000,,Kolkata,Contact Owner
2,400,1,1,Semi-Furnished,Bachelors,Carpet Area,Behala,4600,,Kolkata,Contact Owner
2,650,2,2,Unfurnished,Family,Super Area,"Baishnabghata Patuli Township, Patuli",12000,,Kolkata,Contact Owner
3,2000,2,2,Semi-Furnished,Bachelors/Family,Super Area,Behala,30000,,Kolkata,Contact Owner
3,1068,2,2,Semi-Furnished,Bachelors/Family,Super Area,Bansdroni,15000,,Kolkata,Contact Owner
1,150,1,1,Furnished,Bachelors/Family,Super Area,Salt Lake City,7500,,Kolkata,Contact Owner
1,450,1,1,Unfurnished,Bachelors,Carpet Area,New Town,7500,,Kolkata,Contact Owner
2,800,1,1,Unfurnished,Bachelors/Family,Carpet Area,Baruipur,5000,,Kolkata,Contact Owner
2,1000,2,2,Unfurnished,Bachelors/Family,Super Area,Bansdroni,15000,,Kolkata,Contact Owner
2,900,1,1,Semi-Furnished,Bachelors,Super Area,Pancha Sayar,11000,,Kolkata,Contact Owner
1,600,1,1,Unfurnished,Bachelors/Family,Carpet Area,Behala,7000,,Kolkata,Contact Owner
2,1200,1,1,Unfurnished,Bachelors/Family,Super Area,Hooghly-Chinsurah,6000,,Kolkata,Contact Owner
2,1200,2,2,Semi-Furnished,Bachelors,Super Area,Hooghly-Chinsurah,6000,,Kolkata,Contact Owner
2,650,2,2,Semi-Furnished,Bachelors/Family,Super Area,"Amtala, Diamond Harbour Road",7000,,Kolkata,Contact Owner
2,720,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Shrachi Village, Madhyam Gram",8500,,Kolkata,Contact Owner
1,300,1,1,Unfurnished,Bachelors,Carpet Area,Kasba,5000,,Kolkata,Contact Owner
3,1200,3,3,Unfurnished,Bachelors/Family,Carpet Area,VIP Road Haldiram,30000,,Kolkata,Contact Agent
2,700,2,2,Unfurnished,Bachelors/Family,Carpet Area,Sarsuna,10000,,Kolkata,Contact Owner
3,2000,2,2,Semi-Furnished,Bachelors/Family,Super Area,Naihati,30000,,Kolkata,Contact Owner
1,250,1,1,Semi-Furnished,Bachelors/Family,Super Area,Baksara,3500,,Kolkata,Contact Owner
2,1100,1,1,Unfurnished,Bachelors,Carpet Area,Naihati,8000,,Kolkata,Contact Owner
1,300,1,1,Unfurnished,Bachelors/Family,Carpet Area,Kasba,5000,,Kolkata,Contact Owner
2,600,1,1,Semi-Furnished,Bachelors/Family,Super Area,"Amtala, Diamond Harbour Road",7500,,Kolkata,Contact Owner
2,800,1,1,Unfurnished,Bachelors/Family,Carpet Area,"Chak Thakurani, Thakurpukur",6500,,Kolkata,Contact Owner
1,680,1,1,Unfurnished,Bachelors/Family,Super Area,Jadavpur,7500,,Kolkata,Contact Owner
1,680,1,1,Unfurnished,Bachelors/Family,Super Area,Jadavpur,7500,,Kolkata,Contact Owner
2,850,1,1,Semi-Furnished,Bachelors,Carpet Area,Salt Lake City Sector 1,16000,,Kolkata,Contact Agent
2,850,1,1,Semi-Furnished,Bachelors,Carpet Area,Salt Lake City Sector 1,16000,,Kolkata,Contact Agent
2,700,1,1,Unfurnished,Bachelors,Super Area,Bandel,6500,,Kolkata,Contact Owner
3,1500,2,2,Unfurnished,Bachelors/Family,Super Area,Beliaghata,40000,,Kolkata,Contact Owner
2,950,2,2,Semi-Furnished,Bachelors/Family,Super Area,"Magnolia Prestige, Rajarhat",12500,,Kolkata,Contact Owner
2,500,1,1,Unfurnished,Bachelors/Family,Super Area,"Baishnabghata Patuli Township, Patuli",5500,,Kolkata,Contact Owner
1,450,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,"Dum Dum Heights, Jessore Road",5000,,Kolkata,Contact Owner
2,700,1,1,Unfurnished,Bachelors,Super Area,Sonarpur,6500,,Kolkata,Contact Owner
1,500,1,1,Unfurnished,Bachelors/Family,Super Area,Lake Town,8000,,Kolkata,Contact Owner
3,1800,2,2,Semi-Furnished,Bachelors/Family,Super Area,Belghoria,14500,,Kolkata,Contact Owner
1,500,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,"Rabindra Pally, Keshtopur",8200,,Kolkata,Contact Owner
2,480,2,2,Furnished,Bachelors/Family,Carpet Area,shukhobrishti,15000,,Kolkata,Contact Owner
6,1000,2,2,Semi-Furnished,Bachelors/Family,Super Area,Sonarpur,20000,,Kolkata,Contact Owner
2,800,1,1,Furnished,Bachelors/Family,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",6700,,Kolkata,Contact Owner
1,435,1,1,Unfurnished,Bachelors/Family,Super Area,Kasba,10000,,Kolkata,Contact Owner
2,700,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,Dum Dum Metro,7000,,Kolkata,Contact Agent
2,800,1,1,Furnished,Bachelors/Family,Super Area,"Hazra, Kalighat",22000,,Kolkata,Contact Agent
2,450,1,1,Unfurnished,Bachelors/Family,Super Area,Ajoy Nagar,6500,,Kolkata,Contact Owner
2,550,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Kasba -East,8500,,Kolkata,Contact Agent
2,800,2,2,Unfurnished,Bachelors,Carpet Area,Salt Lake City,18000,,Kolkata,Contact Agent
2,550,2,2,Semi-Furnished,Family,Carpet Area,Baghajatin,12000,,Kolkata,Contact Owner
1,600,1,1,Furnished,Bachelors/Family,Super Area,Behala,9000,,Kolkata,Contact Owner
1,500,1,1,Unfurnished,Bachelors/Family,Super Area,"New Garia, Garia",6000,,Kolkata,Contact Owner
2,1000,2,2,Furnished,Bachelors/Family,Super Area,Anandapur,20000,,Kolkata,Contact Owner
1,300,1,1,Unfurnished,Bachelors/Family,Carpet Area,Dum Dum Metro,5000,,Kolkata,Contact Owner
2,1200,2,2,Furnished,Bachelors/Family,Super Area,Boral,12000,,Kolkata,Contact Owner
2,500,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,"Rabindra Pally, Keshtopur",10000,,Kolkata,Contact Owner
4,1200,2,2,Unfurnished,Family,Super Area,Bagbazar,18000,,Kolkata,Contact Owner
2,900,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,Salt Lake City Sector 1,15000,,Kolkata,Contact Agent
3,1300,3,3,Unfurnished,Bachelors/Family,Carpet Area,Salt Lake City Sector 2,22000,,Kolkata,Contact Agent
4,1600,3,3,Unfurnished,Bachelors/Family,Carpet Area,Salt Lake City Sector 3,35000,,Kolkata,Contact Agent
3,1450,2,2,Unfurnished,Family,Super Area,Ajoy Nagar,21000,,Kolkata,Contact Owner
2,1100,2,2,Furnished,Bachelors,Super Area,"Action Area 1, Rajarhat Newtown",25000,,Kolkata,Contact Agent
2,950,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Avenue S, Santoshpur",180000,,Kolkata,Contact Owner
1,600,1,1,Unfurnished,Bachelors/Family,Carpet Area,Pratiraksha Nagar,6000,,Kolkata,Contact Owner
2,700,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Kudghat, Ashok Nagar",14000,,Kolkata,Contact Owner
3,750,1,1,Unfurnished,Family,Super Area,"Sakher Bazar, Purba Barisha",8000,,Kolkata,Contact Owner
2,1000,1,1,Unfurnished,Bachelors/Family,Super Area,"Purbasan, Thakurpukur",8000,,Kolkata,Contact Owner
1,220,1,1,Furnished,Bachelors/Family,Super Area,"Bidhan Pally, Bansdroni",6000,,Kolkata,Contact Owner
1,300,1,1,Semi-Furnished,Bachelors,Carpet Area,"Naktala, Garia",8000,,Kolkata,Contact Agent
1,300,1,1,Unfurnished,Bachelors/Family,Carpet Area,Tiljala Road,6000,,Kolkata,Contact Agent
1,700,1,1,Semi-Furnished,Bachelors/Family,Super Area,Sankaritola,20000,,Kolkata,Contact Owner
3,800,2,2,Unfurnished,Bachelors/Family,Super Area,"Parnashree Lake, Behala",12000,,Kolkata,Contact Owner
3,1600,2,2,Unfurnished,Bachelors/Family,Super Area,Garia,15000,,Kolkata,Contact Owner
2,1000,2,2,Unfurnished,Bachelors/Family,Carpet Area,Kasba,14000,,Kolkata,Contact Owner
1,20,1,1,Unfurnished,Bachelors/Family,Super Area,Dakshineswar,5000,,Kolkata,Contact Owner
2,400,1,1,Unfurnished,Bachelors/Family,Carpet Area,chatana,7000,,Kolkata,Contact Owner
1,200,1,1,Furnished,Bachelors/Family,Super Area,Shyam Bazar,3900,,Kolkata,Contact Owner
3,840,2,2,Unfurnished,Bachelors,Carpet Area,Mukundapur,14000,,Kolkata,Contact Owner
1,300,1,1,Unfurnished,Bachelors/Family,Carpet Area,Salt Lake City Sector 5,6300,,Kolkata,Contact Agent
2,550,2,2,Furnished,Bachelors/Family,Carpet Area,Salt Lake City Sector 5,13000,,Kolkata,Contact Agent
1,300,1,1,Unfurnished,Bachelors/Family,Carpet Area,Salt Lake City Sector 5,6800,,Kolkata,Contact Agent
2,800,2,2,Unfurnished,Bachelors/Family,Super Area,Behala Chowrasta,8000,,Kolkata,Contact Owner
2,740,1,1,Unfurnished,Bachelors,Carpet Area,Sonarpur,10000,,Kolkata,Contact Owner
2,1300,2,2,Unfurnished,Bachelors/Family,Super Area,Santoshpur,18000,,Kolkata,Contact Owner
2,650,1,1,Semi-Furnished,Bachelors/Family,Super Area,"Garia Station, Garia",8000,,Kolkata,Contact Owner
2,490,1,1,Semi-Furnished,Bachelors/Family,Super Area,Entally,8000,,Kolkata,Contact Owner
1,250,1,1,Furnished,Bachelors/Family,Super Area,Kaikhali,4700,,Kolkata,Contact Owner
1,250,1,1,Furnished,Bachelors/Family,Super Area,"Dash Drone, Rajarhat Newtown",4700,,Kolkata,Contact Owner
1,450,1,1,Unfurnished,Bachelors/Family,Super Area,"Rabindra Pally, Keshtopur",4500,,Kolkata,Contact Owner
1,300,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Salt Lake City Sector 1,6000,,Kolkata,Contact Owner
2,750,2,2,Unfurnished,Bachelors/Family,Super Area,"Rajdanga Gardens, Kasba",16000,,Kolkata,Contact Owner
1,250,1,1,Furnished,Bachelors/Family,Super Area,Kaikhali,4700,,Kolkata,Contact Owner
2,751,1,1,Unfurnished,Bachelors,Carpet Area,Baghajatin,14000,,Kolkata,Contact Owner
2,900,1,1,Semi-Furnished,Bachelors,Carpet Area,Lake Town,9000,,Kolkata,Contact Owner
2,400,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Keshtopur,5000,,Kolkata,Contact Owner
2,1000,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,Salt Lake City,17500,,Kolkata,Contact Agent
2,1000,1,1,Unfurnished,Bachelors/Family,Carpet Area,South Baksara,8500,,Kolkata,Contact Owner
3,1500,2,2,Semi-Furnished,Family,Carpet Area,"Chandannagar, Hooghly-Chinsurah",15000,,Kolkata,Contact Owner
2,750,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Sukhpally, Haltu",12500,,Kolkata,Contact Owner
1,1200,1,1,Semi-Furnished,Bachelors/Family,Super Area,Kasba,13000,,Kolkata,Contact Owner
2,700,1,1,Unfurnished,Bachelors/Family,Super Area,"Sakher Bazar, Purba Barisha",8000,,Kolkata,Contact Owner
2,700,1,1,Furnished,Bachelors/Family,Carpet Area,Garia Dhalua Nabapally,8000,,Kolkata,Contact Owner
2,1000,1,1,Semi-Furnished,Bachelors/Family,Super Area,"Chinar Park, Rajarhat",8000,,Kolkata,Contact Owner
2,1200,2,2,Unfurnished,Bachelors/Family,Super Area,Konnagar,7000,,Kolkata,Contact Owner
2,550,1,1,Furnished,Bachelors/Family,Super Area,Behala silpara,2200,,Kolkata,Contact Owner
2,800,1,1,Unfurnished,Bachelors,Carpet Area,Vip Road,8000,,Kolkata,Contact Owner
2,280,1,1,Unfurnished,Bachelors,Super Area,New Barrakpur,5500,,Kolkata,Contact Owner
3,1100,3,3,Unfurnished,Bachelors/Family,Super Area,"Thakurpukur, Kolkata",20000,,Kolkata,Contact Owner
2,950,1,1,Unfurnished,Bachelors/Family,Super Area,Kaikhali,7000,,Kolkata,Contact Agent
1,250,1,1,Furnished,Bachelors/Family,Super Area,"Phool Bagan, Kankurgachi",3500,,Kolkata,Contact Owner
2,1000,1,1,Unfurnished,Bachelors,Carpet Area,Hindmotor,5000,,Kolkata,Contact Owner
3,1000,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,Salt Lake City Sector 1,20000,,Kolkata,Contact Owner
2,650,1,1,Unfurnished,Bachelors/Family,Super Area,Howrah,7000,,Kolkata,Contact Owner
2,700,2,2,Unfurnished,Bachelors/Family,Super Area,Benia Pukur,10000,,Kolkata,Contact Owner
2,700,1,1,Unfurnished,Bachelors,Carpet Area,Baguiati,7000,,Kolkata,Contact Owner
3,1000,2,2,Semi-Furnished,Bachelors/Family,Super Area,E M Bypass,12000,,Kolkata,Contact Owner
2,900,2,2,Unfurnished,Bachelors,Carpet Area,"Panchanan Tola, Thakurpukur",14500,,Kolkata,Contact Owner
1,700,1,1,Unfurnished,Bachelors/Family,Super Area,"VIP Nagar, E M Bypass",6000,,Kolkata,Contact Owner
2,700,2,2,Unfurnished,Bachelors/Family,Super Area,Jadavpur,9500,,Kolkata,Contact Owner
2,450,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,Behala,10000,,Kolkata,Contact Owner
1,120,1,1,Unfurnished,Bachelors/Family,Super Area,Dum Dum Cantonment,3500,,Kolkata,Contact Owner
2,800,2,2,Semi-Furnished,Bachelors/Family,Super Area,"New Garia, Garia",9000,,Kolkata,Contact Owner
3,1220,2,2,Unfurnished,Bachelors/Family,Carpet Area,Salt Lake City Sector 3,40000,,Kolkata,Contact Owner
3,1100,1,1,Unfurnished,Bachelors/Family,Super Area,Mominpur,16500,,Kolkata,Contact Owner
3,700,2,2,Unfurnished,Family,Carpet Area,"Halisahar Station Road, Kanchrapara",8000,,Kolkata,Contact Owner
2,800,1,1,Furnished,Bachelors/Family,Super Area,Santoshpur,12000,,Kolkata,Contact Owner
2,670,1,1,Unfurnished,Family,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",6500,,Kolkata,Contact Owner
4,1300,3,3,Unfurnished,Bachelors/Family,Super Area,Ballygunge,40000,,Kolkata,Contact Owner
1,190,1,1,Semi-Furnished,Bachelors/Family,Super Area,Baguihati,5000,,Kolkata,Contact Owner
2,700,1,1,Semi-Furnished,Bachelors/Family,Super Area,Kabardanga,9000,,Kolkata,Contact Owner
1,240,1,1,Unfurnished,Bachelors,Carpet Area,Jadavpur,7000,,Kolkata,Contact Owner
2,850,1,1,Semi-Furnished,Family,Carpet Area,Behala Chowrasta,18000,,Kolkata,Contact Owner
1,950,2,2,Unfurnished,Bachelors/Family,Super Area,Haltu,9000,,Kolkata,Contact Owner
1,450,1,1,Furnished,Bachelors/Family,Carpet Area,Botanical Garden Area,5500,,Kolkata,Contact Owner
2,800,1,1,Unfurnished,Bachelors,Carpet Area,Bonhooghly,7500,,Kolkata,Contact Owner
2,600,1,1,Unfurnished,Bachelors/Family,Carpet Area,Nilgung Old Bazar,4000,,Kolkata,Contact Owner
3,800,2,2,Unfurnished,Bachelors,Carpet Area,"Teghoria, Baguiati",10500,,Kolkata,Contact Owner
3,1100,2,2,Unfurnished,Bachelors/Family,Carpet Area,Survey Park,15000,,Kolkata,Contact Owner
2,800,1,1,Furnished,Bachelors/Family,Carpet Area,Baguiati,15000,,Kolkata,Contact Owner
1,2200,3,3,Furnished,Bachelors/Family,Super Area,Kanchrapara,50000,,Kolkata,Contact Owner
2,950,2,2,Unfurnished,Bachelors,Carpet Area,"Jote Shibrampur, Joth Shibrampur",12000,,Kolkata,Contact Owner
2,550,1,1,Unfurnished,Bachelors/Family,Carpet Area,Ultadanga,11000,,Kolkata,Contact Owner
2,1800,2,2,Unfurnished,Bachelors,Carpet Area,Birati,12000,,Kolkata,Contact Owner
2,1000,1,1,Furnished,Bachelors/Family,Super Area,"Chinar Park, Rajarhat",8000,,Kolkata,Contact Owner
2,600,2,2,Semi-Furnished,Bachelors/Family,Super Area,Bagha Jatin Pally,18000,,Kolkata,Contact Owner
2,750,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,rishi aurobindo sarani neat NIOH hospital,8000,,Kolkata,Contact Owner
2,685,1,1,Unfurnished,Bachelors/Family,Super Area,Dum Dum Metro,7000,,Kolkata,Contact Agent
1,44,1,1,Furnished,Bachelors/Family,Carpet Area,Baranagar,6500,,Kolkata,Contact Owner
4,1200,1,1,Unfurnished,Bachelors/Family,Carpet Area,Tollygunge,13000,,Kolkata,Contact Owner
2,500,1,1,Unfurnished,Bachelors,Carpet Area,Airport Near Gate No. 21/2,9000,,Kolkata,Contact Owner
4,1110,2,2,Unfurnished,Bachelors/Family,Carpet Area,Purbasa,10000,,Kolkata,Contact Owner
2,1000,2,2,Unfurnished,Bachelors/Family,Super Area,Jadavpur,12000,,Kolkata,Contact Owner
2,392,1,1,Unfurnished,Bachelors/Family,Super Area,Jadavpur,5000,,Kolkata,Contact Owner
2,700,1,1,Unfurnished,Bachelors/Family,Super Area,Barasat-Barrackpore Road,6000,,Kolkata,Contact Owner
1,750,1,1,Unfurnished,Bachelors/Family,Super Area,Keshtopur,5200,,Kolkata,Contact Owner
3,1500,2,2,Unfurnished,Family,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",15000,,Kolkata,Contact Owner
2,900,2,2,Unfurnished,Bachelors/Family,Super Area,Keshtopur,9000,,Kolkata,Contact Owner
1,710,1,1,Furnished,Bachelors,Super Area,Salt Lake City Sector 1,24000,,Kolkata,Contact Agent
1,400,1,1,Unfurnished,Bachelors/Family,Carpet Area,jadavpur central park east,5500,,Kolkata,Contact Owner
1,700,1,1,Unfurnished,Bachelors,Carpet Area,Garia,10000,,Kolkata,Contact Owner
2,1000,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Tn Chatterjee Street,15000,,Kolkata,Contact Owner
1,250,1,1,Furnished,Bachelors/Family,Super Area,Kaikhali,4700,,Kolkata,Contact Owner
1,500,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Bata Nagar,5000,,Kolkata,Contact Owner
2,450,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Birati,5000,,Kolkata,Contact Owner
3,1400,1,1,Unfurnished,Bachelors/Family,Super Area,Survey Park,15000,,Kolkata,Contact Owner
1,500,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Bata Nagar,5000,,Kolkata,Contact Owner
2,700,1,1,Unfurnished,Bachelors/Family,Carpet Area,Hatiara Extention,6000,,Kolkata,Contact Owner
3,1200,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Salt Lake City Sector 1,18000,,Kolkata,Contact Owner
2,450,1,1,Unfurnished,Bachelors,Carpet Area,Andul,8000,,Kolkata,Contact Owner
1,500,1,1,Furnished,Bachelors,Carpet Area,Salt Lake City Sector 2,13000,,Kolkata,Contact Agent
2,400,1,1,Unfurnished,Bachelors/Family,Carpet Area,locality,7500,,Kolkata,Contact Owner
3,1000,2,2,Unfurnished,Bachelors/Family,Super Area,Khardah,12000,,Kolkata,Contact Owner
2,750,1,1,Unfurnished,Bachelors,Carpet Area,Parnasree Pally,11000,,Kolkata,Contact Owner
1,450,1,1,Unfurnished,Family,Super Area,Baghajatin,6000,,Kolkata,Contact Owner
3,1000,2,2,Unfurnished,Bachelors,Carpet Area,Salt Lake City Sector 3,20000,,Kolkata,Contact Agent
2,500,2,2,Unfurnished,Bachelors,Carpet Area,sarsuna banerjee para,7000,,Kolkata,Contact Owner
4,1600,2,2,Unfurnished,Bachelors,Carpet Area,Salt Lake City Sector 3,30000,,Kolkata,Contact Agent
2,550,1,1,Unfurnished,Bachelors,Carpet Area,Near Seven Tanks Road Dumdum Station,7500,,Kolkata,Contact Owner
1,550,2,2,Unfurnished,Bachelors/Family,Super Area,Jyangra,6500,,Kolkata,Contact Owner
1,200,1,1,Unfurnished,Bachelors/Family,Super Area,Barasat,3000,,Kolkata,Contact Owner
2,650,1,1,Unfurnished,Bachelors,Carpet Area,Sukchar,5200,,Kolkata,Contact Owner
2,1000,2,2,Furnished,Bachelors/Family,Super Area,"Tagore Park, Kasba",25000,,Kolkata,Contact Owner
2,680,2,2,Unfurnished,Bachelors/Family,Carpet Area,Barrackpore,12500,,Kolkata,Contact Owner
2,720,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Silpara, Purba Barisha",8500,,Kolkata,Contact Owner
2,500,1,1,Unfurnished,Bachelors,Carpet Area,Konnagar,3500,,Kolkata,Contact Owner
2,800,1,1,Unfurnished,Bachelors/Family,Super Area,Madhyam Gram,7000,,Kolkata,Contact Owner
1,160,1,1,Unfurnished,Bachelors/Family,Super Area,"Kudghat, Ashok Nagar",3000,,Kolkata,Contact Owner
2,1200,2,2,Unfurnished,Bachelors/Family,Carpet Area,Salt Lake City Sector 5,14000,,Kolkata,Contact Agent
1,700,1,1,Furnished,Bachelors/Family,Super Area,Salt Lake City Sector 3,18000,,Kolkata,Contact Owner
1,1000,1,1,Semi-Furnished,Bachelors/Family,Super Area,Dum Dum Cantonment,3500,,Kolkata,Contact Owner
2,1250,2,2,Unfurnished,Bachelors/Family,Super Area,Kasba,16000,,Kolkata,Contact Agent
4,1600,3,3,Unfurnished,Bachelors/Family,Super Area,Salt Lake City,35000,,Kolkata,Contact Owner
2,700,1,1,Semi-Furnished,Bachelors/Family,Super Area,Lake Gardens,21000,,Kolkata,Contact Owner
1,450,1,1,Unfurnished,Bachelors/Family,Super Area,"Silpara, Purba Barisha",4500,,Kolkata,Contact Owner
2,839,2,2,Semi-Furnished,Bachelors/Family,Super Area,Howrah,15000,,Kolkata,Contact Owner
1,230,1,1,Unfurnished,Bachelors/Family,Super Area,Birati,4500,,Kolkata,Contact Owner
1,1800,1,1,Unfurnished,Bachelors/Family,Super Area,Baranagar,5500,,Kolkata,Contact Owner
2,800,2,2,Unfurnished,Bachelors/Family,Super Area,Baguihati,8500,,Kolkata,Contact Owner
1,500,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,BRAHMAPUR NEAR BANSDRONI,5000,,Kolkata,Contact Owner
2,620,1,1,Unfurnished,Bachelors,Carpet Area,Kasba,8500,,Kolkata,Contact Owner
2,650,1,1,Unfurnished,Bachelors/Family,Carpet Area,tollygunge Kabardanga,9000,,Kolkata,Contact Owner
1,550,1,1,Semi-Furnished,Bachelors/Family,Super Area,"Naktala, Garia",7500,,Kolkata,Contact Agent
2,450,2,2,Furnished,Bachelors,Carpet Area,safuipara,7000,,Kolkata,Contact Owner
